Sigla;Designação;"Organismo
Conjunto de Organismos
Tipologia de Organismos";AP;Privados c/ FP;;;;;;;;;;;;;
IMPIC;Instituto dos Mercados Públicos, do Imobiliário e da Construção, IP;Organismo;AP;;;;;;;;;;;;;;

IMT;Instituto de Mobilidade e dos Transportes, IP;Organismo;AP;;;;;;;;;;;;;;

INA;Direção-Geral da Qualificação dos Trabalhadores em Funções Públicas;Organismo;AP;;;;;;;;;;;;;;

INCM;Imprensa Nacional-Casa da Moeda, SA;Organismo;AP;;;;;;;;;;;;;;

INE;Instituto Nacional de Estatística, IP;Organismo;AP;;;;;;;;;;;;;;

INEM;Instituto Nacional de Emergência Médica, IP;Organismo;AP;;;;;;;;;;;;;;

INFARMED;Autoridade Nacional do Medicamento e Produtos de Saúde, IP;Organismo;AP;;;;;;;;;;;;;;

INIAV;Instituto Nacional de Investigação Agrária e Veterinária, IP;Organismo;AP;;;;;;;;;;;;;;

INMLCF;Instituto Nacional de Medicina Legal e Ciências Forenses, IP;Organismo;AP;;;;;;;;;;;;;;

INPI;Instituto Nacional da Propriedade Industrial, IP;Organismo;AP;;;;;;;;;;;;;;

INR;Instituto Nacional para a Reabilitação, IP;Organismo;AP;;;;;;;;;;;;;;

INSA;Instituto Nacional de Saúde Doutor Ricardo Jorge, IP;Organismo;AP;;;;;;;;;;;;;;

I.P.;Institutos Públicos;Conjunto de organismos;AP;;;;;;;;;;;;;;

IP, SA;Infraestruturas de Portugal, SA;Organismo;AP;;;;;;;;;;;;;;

IPAC;Instituto Português de Acreditação, IP;Organismo;AP;;;;;;;;;;;;;;

IPDJ;Instituto Português do Desporto e Juventude, IP;Organismo;AP;;;;;;;;;;;;;;

IPMA;Instituto Português do Mar e da Atmosfera, IP;Organismo;AP;;;;;;;;;;;;;;

IPQ;Instituto Português da Qualidade, IP;Organismo;AP;;;;;;;;;;;;;;

IPSS;Instituições Particulares de Solidariedade Social;Conjunto de organismos;AP;;;;;;;;;;;;;;

IPST;Instituto Português do Sangue e da Transplantação, I.P.;Organismo;AP;;;;;;;;;;;;;;

IRN;Instituto dos Registos e do Notariado, IP;Organismo;AP;;;;;;;;;;;;;;

ISAN Portugal;International Standard Audiovisual Number Portugal;Organismo;N;;;;;;;;;;;;;;

ISS;Instituto da Segurança Social, IP;Organismo;AP;;;;;;;;;;;;;;

ISSA;Instituto da Segurança Social dos Açores, IP;Organismo;AP;;;;;;;;;;;;;;

ISSM;Instituto da Segurança Social da Madeira, IP;Organismo;AP;;;;;;;;;;;;;;

IST;Instituto Superior Técnico;Organismo;AP;;;;;;;;;;;;;;

IVDP;Instituto dos Vinhos do Douro e do Porto, IP;Organismo;AP;;;;;;;;;;;;;;

IVV;Instituto da Vinha e do Vinho, IP;Organismo;AP;;;;;;;;;;;;;;

JP;Julgados de Paz;Conjunto de organismos;AP;;;;;;;;;;;;;;

LNEG;Laboratório Nacional de Energia e Geologia;Organismo;AP;;;;;;;;;;;;;;

Marinha;Marinha Portuguesa;Organismo;AP;;;;;;;;;;;;;;

MP;Ministério Público;Organismo;AP;;;;;;;;;;;;;;

Museus;Museus;Tipologia de organismo;AP;;;;;;;;;;;;;;

OACDOP;Organismos da Administração com competências delegadas em ordens profissionais;Tipologia de organismo;AP;;;;;;;;;;;;;;

OGCT;Organismos gestores de Comissão Técnica;Tipologia de organismo;N;;;;;;;;;;;;;;

ONS;Organismos de normalização setorial;Tipologia de organismo;N;;;;;;;;;;;;;;

OP;Ordens Profissionais;Organismo;N;;;;;;;;;;;;;;

OPC;Órgãos de Polícia Criminal;Organismo;AP;;;;;;;;;;;;;;

PCM;Presidência do Conselho de Ministros;Organismo;AP;;;;;;;;;;;;;;

PGR;Procuradoria-Geral da República;Organismo;AP;;;;;;;;;;;;;;

PJ;Polícia Judiciária;Organismo;AP;;;;;;;;;;;;;;

PM;Primeiro-Ministro;Organismo;AP;;;;;;;;;;;;;;

