Sigla;Designação;"Tipologia";AP;Privados c/ FP;;;;;;;;;;;;;
INFARMED;Autoridade Nacional do Medicamento e Produtos de Saúde, IP;Organização;AP;;;;;;;;;;;;;;

INIAV;Instituto Nacional de Investigação Agrária e Veterinária, IP;Organização;AP;;;;;;;;;;;;;;

INMLCF;Instituto Nacional de Medicina Legal e Ciências Forenses, IP;Organização;AP;;;;;;;;;;;;;;

INPI;Instituto Nacional da Propriedade Industrial, IP;Organização;AP;;;;;;;;;;;;;;

INR;Instituto Nacional para a Reabilitação, IP;Organização;AP;;;;;;;;;;;;;;

INSA;Instituto Nacional de Saúde Doutor Ricardo Jorge, IP;Organização;AP;;;;;;;;;;;;;;

IP, SA;Infraestruturas de Portugal, SA;Organização;AP;;;;;;;;;;;;;;

I.P.;Institutos Públicos;Conjunto de Organizações;AP;;;;;;;;;;;;;;

IPAC;Instituto Português de Acreditação, IP;Organização;AP;;;;;;;;;;;;;;

IPDJ;Instituto Português do Desporto e Juventude, IP;Organização;AP;;;;;;;;;;;;;;

IPMA;Instituto Português do Mar e da Atmosfera, IP;Organização;AP;;;;;;;;;;;;;;

IPQ;Instituto Português da Qualidade, IP;Organização;AP;;;;;;;;;;;;;;

IPST;Instituto Português do Sangue e da Transplantação, I.P.;Organização;AP;;;;;;;;;;;;;;

IPSS;Instituições Particulares de Solidariedade Social;Conjunto de Organizações;N;;;;;;;;;;;;;;

IRN;Instituto dos Registos e do Notariado, IP;Organização;AP;;;;;;;;;;;;;;

ISAN Portugal;International Standard Audiovisual Number Portugal;Organização;N;;;;;;;;;;;;;;

ISS;Instituto da Segurança Social, IP;Organização;AP;;;;;;;;;;;;;;

ISSA;Instituto da Segurança Social dos Açores, IP;Organização;AP;;;;;;;;;;;;;;

ISSM;Instituto da Segurança Social da Madeira, IP;Organização;AP;;;;;;;;;;;;;;

IST;Instituto Superior Técnico;Organização;AP;;;;;;;;;;;;;;

IVDP;Instituto dos Vinhos do Douro e do Porto, IP;Organização;AP;;;;;;;;;;;;;;

IVV;Instituto da Vinha e do Vinho, IP;Organização;AP;;;;;;;;;;;;;;

LNEG;Laboratório Nacional de Energia e Geologia;Organização;AP;;;;;;;;;;;;;;

JP;Julgados de Paz;Conjunto de Organizações;AP;;;;;;;;;;;;;;

Marinha;Marinha Portuguesa;Organização;AP;;;;;;;;;;;;;;

MP;Ministério Público;Organização;AP;;;;;;;;;;;;;;

OP;Ordens Profissionais;Organização;N;;;;;;;;;;;;;;

Museus;Museus;Tipologia de Organização;AP;;;;;;;;;;;;;;

OACDOP;Organizações da Administração com competências delegadas em ordens profissionais;Tipologia de Organização;AP;;;;;;;;;;;;;;

OGCT;Organizações gestores de Comissão Técnica;Tipologia de Organização;N;;;;;;;;;;;;;;

